restaurant_id,restaurant_name,cuisine_type,oil_multiplier,classification_notes
Eh-JdJ95QpuGFeGLL9SebA,Club House - Downstairs,Club House,1.4,Golf club - American casual
5xniX5paSc2ALrB9zYhcMQ,Club House - Upstairs,Club House,1.4,Golf club - American casual
N5yJKjJQRWijRardgrIMow,Copper Whisk Cafe,Cafe,1.2,Casual cafe
uQACOebASnCR1eMvsaOM1g,Cornerstone Steakhouse,Steakhouse,1.2,Steakhouse
zc2a.7aTQ0iP89HTeMU3uQ,Craft Kitchen,American Casual,1.5,American casual
6EghLIujRFaggktj62Nkiw,DTG Pool,Pool/Club,1.8,Pool - wings tenders fries
hSDwyWJvSk2AeBq8bPPbOg,Darla's Southern Cajun Bistro,Cajun,1.9,Cajun - very high frying
6OWpVUUtQme9YdK9y1JCyA,DiscoShow/Diner Ross - Independent,American Diner,1.5,Diner - American classics
qRhhSgGtRY6dwpe7-dyS-w,Dominique Ansel,Bakery,0.6,French bakery/pastry
Z4BoS8z8SPKl-9B2lZrRIA,E.D.R. (Employee Dining Room),Employee Dining,1.4,Employee cafeteria
zGvg9hidS0Kk6VQIhdZvQA,EDR - Employee Dining Room,Employee Dining,1.4,Employee cafeteria
IJAnAJnpRhSfZZV553Y6Bw,EDR - Employee Dining Room,Employee Dining,1.4,Employee cafeteria
WvllcanESNaX-nvnmc2tUw,EDR - Employee Dining Room,Employee Dining,1.4,Employee cafeteria
WBGxpcKpRWWyOmt2s6z8DQ,EDR - Employee Dining Room,Employee Dining,1.4,Employee cafeteria
I2laUIekSw6jLyS9OOqmDQ,EDR - Employee Dining Room,Employee Dining,1.4,Employee cafeteria
hpQUfaTZSYa2zIaYE-8dVA,EDR - Employee Dining Room,Employee Dining,1.4,Employee cafeteria
a-T8ikOZPQ4mAUxR6c5w67Q,EDR - Employee Dining Room,Employee Dining,1.4,Employee cafeteria
fb8AMJSLR16S64M3kUZcoQ,EDR - Employee Dining Room,Employee Dining,1.4,Employee cafeteria
UYM2aSAMRX6nGChBxUrQog,EDR - Employee Dining Room,Employee Dining,1.4,Employee cafeteria
Jv88DkiUQ-KSUYv6D07Y.w,EDR - Employee Dining Room,Employee Dining,1.4,Employee cafeteria
ZkhEGuIPRlirprDP60Kf4A,EDR - Employee Dining Room,Employee Dining,1.4,Employee cafeteria
Fj-gTbClSl2f0tjj6Z.9sw,EDR / Main Kitchen / Room Service,Employee Dining,1.4,Employee + room service
MJzD3UQoQraHrqEjASSmPA,EDR / Room Service,Employee Dining,1.4,Employee + room service
IpfhzzqlRR6GkPuoAisyYA,EDR / Room Service (Midday Filter),Employee Dining,1.4,Employee + room service
RimL3pisTJaYtZmB1RI2KQ,EDR Daytime,Employee Dining,1.4,Employee cafeteria
a-0ABMftWQRKnAyVQBqSUag,El Burro Borracho,Mexican,1.3,Mexican restaurant
28egbGkETzmcAF87MHeQxg,Farm Cafe,Cafe,1.2,Farm-to-table cafe
K03kfP2yQQWpiejJhHBDNg,Favorite Bistro - Independent,Bistro,1.3,Casual bistro
61pDNJ5PSJSV5vnpOIKjaw,Flanker's @Carver Road Hospitality,American Casual,1.5,American casual
ZxcH5THXTrqx2Ra8CbSSyg,Flavortown - Guy Fieri,American Comfort,1.8,Guy Fieri American comfort - high frying
5FuhwQrYQ3mH2BBFP.y13w,Forum Food Court - Bobby's Burgers,Burgers,1.6,Bobby Flay burgers
99XaHBjJRqiCgB8yhddfzQ,Forum Food Court - Chicken Guy (Guy Fieri),Fried Chicken,2.0,Guy Fieri fried chicken specialist
Q9x7DzGXRla0hNNsJw23FQ,Forum Food Court - Mok Bar,Asian Fusion,1.4,Asian fusion - stir-fry
iaL.HbgPQGeASBKcRGA5CQ,Forum Food Court - Tortazo,Mexican,1.3,Mexican food court
op9bnKRhSrKPxXN4Bf9V4w,Fremont Pizza Company,Pizza,1.1,Pizza - low frying
bWjGLAfMQB-A6-.eAw0SDw,Fulton Street Food Hall - Noodles,Chinese,1.4,Asian noodles
ZJBNWv3KS4WJ20zVZfdLzw,Giada,Italian,1.5,Giada De Laurentiis Italian
6yEa.z2jRh2OaO957Ka76Q,Giada - Pastry,Bakery,0.6,Italian pastry/bakery
iGmJdjTqQWC8aIgav0UjEw,Golf House,Club House,1.4,Golf club - American casual
EO.DEAWlSDWC8oVqzcOxow,Gonzalez y Gonzalez,Mexican,1.3,Mexican restaurant
xhU6Wx08SAK.2nDNVRxC3w,Gordon Ramsay Burgr,Burgers,1.6,Gordon Ramsay burger concept
oykkZugBR0WGz5tc5jzrUw,Gordon Ramsay Burgr,Burgers,1.6,Gordon Ramsay burger concept
3Y30.pB1RoiGTv0qv9S0-g,Gordon Ramsay Pub,Pub,1.7,British pub - fish & chips wings
3W-dQydXQJGqb-FzikKn3g,Gordon Ramsay Steakhouse,Steakhouse,1.2,Fine dining steakhouse
oYxV-BKtSe-8WXLa40kraA,Guy Fieri,American Comfort,1.8,Guy Fieri American - high frying
3O3PCTODTRqY3XMRtCxOTQ,Hash House A Go-Go,American Comfort,1.7,American comfort - heavy portions & frying
V9pzGgUvTEKKBH7vTNwY9g,Havana 1957 (Independent),Cuban,1.5,Cuban - tostones fried plantains
a-GRYdtkGQIeGwN3I-JjxKQ,Hell's Kitchen,Contemporary American,1.5,Gordon Ramsay contemporary
0groYogRSNK8n76gXYZa4Q,House of Blues (HOB),American Casual,1.5,Concert venue - American food
9gHCie25QT2uDbDMX2ZpWg,Huey Magoo's,Fried Chicken,2.0,Chicken tender specialist
DGkVP94BRSefsWMPbxG6Qg,In-Room Dining (I.R.D.) / Pool,Pool/Club,1.8,Pool dining - wings tenders
3GfUj.yiTYWyqr5HQjFYxA,Jack Binion's Steakhouse,Steakhouse,1.2,Traditional steakhouse
WpjN6.xxTYKPBzijSCsAnA,Jason Aldean's Kitchen + Bar,American Casual,1.5,Country-themed American
uHsj7l.eQ9iIueptHSmhPA,Jerry's,American Diner,1.5,Classic diner
Mtao6iV4RaqLNcuvB9GVRQ,Lanai Express,Asian Fusion,1.4,Hawaiian/Asian fusion
5ugENujURwuqlknEkUllPQ,Luckley Tavern,American Tavern,1.5,Tavern - American fare
pWAm18B7ShOR.7DoJ3Jcqg,MRKT,Asian Fusion,1.4,Modern Asian fusion
GX8S-lCoQvOP8liY7YueoQ,Main Kitchen,Production Kitchen,1.5,Production kitchen
EY6hLdsBTQScmpVJVlcFlA,Main Kitchen,Production Kitchen,1.5,Production kitchen
3X2bh6TuSJ6uPQsAfCD8Nw,Main Kitchen,Production Kitchen,1.5,Production kitchen
iE-4DigQR--d-kjU78WwKg,Main Kitchen (GR Burgr & Pinky's),Production Kitchen,1.5,Production kitchen
J8dxKi2rTlOzQTGwspFXwQ,Main Kitchen - Zone 3,Production Kitchen,1.5,Production kitchen
S.cnioZQQAaXLj3rd8igFw,Martha Stewart - Bedford,American Upscale,1.3,Martha Stewart upscale American
Asxu2ufuRN6lVG759qJ-ZQ,Market Street Cafe,Cafe,1.2,Casino cafe
q9wiX2..TYSxjQT86eblgQ,Mermaid - Zone 4,Asian,1.4,Asian cuisine
Gg0o8PMWSMmlE0uFIwLJdw,Mi Casa - Zone 2,Mexican,1.3,Mexican restaurant
z4mrsm-GQ-O2s7rvi89GPA,Nobu,Sushi,0.3,Japanese sushi - minimal frying
pxunTEBIQ-6Qb0EE7kNfQQ,Ondori Asian Kitchen,Japanese Yakitori,1.4,Japanese yakitori + karaage
QOa8HFikTlCEyAf6vsEp5w,Orleans Arena,Arena Concessions,1.6,Sports arena - concession food
C7KTgyGhQxKwPJTACHx9Qw,Pinky's,American Casual,1.5,American casual
EIUAO2uLRJmq6RFSOpGFGg,Pool,Pool/Club,1.8,Pool - fried apps
a-h0.uBRdQy-epNnQE.bwMg,Pool (Back EDR),Pool/Club,1.8,Pool - fried apps
vquBfXjjS6isYkq78ITkJw,Redwood Steakhouse,Steakhouse,1.2,Steakhouse
h9pUX9gCTTet06DILF2M9g,Room Service,Hotel Dining,1.3,Hotel room service - varied
ZVqBhCCIQ52FaFUzZRuOVQ,Salted Lime,Mexican,1.3,Mexican/Latin
aXQq-eAuQGKVFlr-mtpYvg,Service Kitchen 1,Production Kitchen,1.5,Production kitchen
vtwC7JliQWq6.UTh3ljzwA,Service Kitchen 2,Production Kitchen,1.5,Production kitchen
YO4618.ZQeq-Hjopco6Lsw,Smokey Joe's,Barbecue,1.7,BBQ - moderate to high frying
a.s1AkqtzRnS-2TGjSBVplQ,Sports Deli,Deli,1.3,Deli/sports bar
L.vL0WWvTSKwXk2uUDQAEQ,Sports Deli,Deli,1.3,Deli/sports bar
41nsRcHDSpqzjxE6quVlHg,Stanton Social Club,American Upscale,1.5,Upscale American
omfgzx26QIKN1JOK7BCcEg,Su Casa - Zone 2,Mexican,1.3,Mexican restaurant
8jWcyO7YSwCtCE6UXE0b6g,Sundance Cafe - Zone 5,Cafe,1.2,Casino cafe
iqn1oXDRR0-e4LK1jEG.CA,Superfrico,Italian,1.5,Italian by Spiegelworld
a-Io2MZWwTz6YkDmtgTrpMg,TDR (Team Dining Room) - Zone 2,Employee Dining,1.4,Team dining room
7utwLMbfS46OFDH70IEp7w,Tony Roma's,Barbecue,1.7,BBQ ribs - moderate frying
hJ4SwrLSRnOIwrOwnVh6WQ,Triple George Grill,American Grill,1.5,American grill
EJi-DM8wQpimIx5cx7g0yA,Twin Creeks - Zone 2,American Casual,1.4,Casual American
XK0xmnCSStC38oGmjs2W0Q,Vanderpump,American Upscale,1.3,Lisa Vanderpump upscale
XJGKQnxtTBSJcRkpF0hXWQ,Victory's Cafe,Cafe,1.2,Casino cafe
5aRV3bYVShapr.clw0FM3g,Voodoo Steakhouse,Steakhouse,1.2,Steakhouse
dUf8xK2MTeufXqS2OpAvqQ,William B's Steakhouse,Open
81vfuFcpRi6aiSf9Sgcw2Q,Wing It!,Wings,2.0,Wing specialist - very high oil
t9XxGoZhSSSuooi.ZZwOeQ,Wuhu Noodle - Zone 1,Chinese,1.4,Chinese noodles








